,ID,vaccinated,recovered,infected,dead,curr_location,color,num_infected
251,166,False,False,False,False,"(4, 4)",green,0
252,169,True,True,False,False,"(16, 16)",green,1
253,52,False,False,False,False,"(16, 16)",green,0
254,100,False,False,False,False,"(16, 16)",green,0
255,244,False,False,False,False,"(20, 16)",green,0
256,326,False,False,False,False,"(20, 8)",green,0
257,282,False,False,False,False,"(23, 16)",green,0
258,335,False,False,False,False,"(12, 10)",green,0
259,267,True,True,False,False,"(5, 5)",green,1
260,45,False,False,False,False,"(5, 5)",green,0
261,46,False,False,False,False,"(8, 8)",green,0
262,443,True,True,False,False,"(8, 8)",green,1
263,177,False,False,False,False,"(9, 1)",green,0
264,136,False,False,False,False,"(1, 4)",green,0
265,417,False,False,False,False,"(12, 4)",green,0
266,145,False,False,False,False,"(16, 4)",green,0
267,179,False,False,False,False,"(11, 0)",green,0
268,341,False,False,False,False,"(8, 0)",green,0
269,70,False,False,False,False,"(13, 10)",green,0
270,359,False,False,False,False,"(13, 10)",green,0
271,142,False,False,False,False,"(21, 2)",green,0
272,87,False,False,False,False,"(21, 5)",green,0
273,118,False,False,False,False,"(9, 7)",green,0
274,337,False,False,False,False,"(5, 3)",green,0
275,17,True,True,False,False,"(9, 2)",green,1
276,361,False,False,False,False,"(9, 3)",green,0
277,223,False,False,False,False,"(9, 6)",green,0
278,323,False,False,False,False,"(17, 13)",green,0
279,472,False,False,False,False,"(5, 9)",green,0
280,251,False,False,False,False,"(21, 17)",green,0
281,225,False,False,False,False,"(21, 17)",green,0
282,203,False,False,False,False,"(24, 15)",green,0
283,38,True,True,False,False,"(24, 15)",green,1
284,162,False,False,False,False,"(21, 16)",green,0
285,474,False,False,False,False,"(17, 16)",green,0
286,478,False,False,False,False,"(17, 16)",green,0
287,21,False,False,False,False,"(21, 13)",green,0
288,440,True,True,False,False,"(22, 17)",green,1
289,144,False,False,False,False,"(22, 18)",green,0
290,477,False,False,False,False,"(22, 18)",green,0
291,129,False,False,False,False,"(22, 14)",green,0
292,446,False,False,False,False,"(22, 14)",green,0
293,243,False,False,False,False,"(17, 22)",green,0
294,385,False,False,False,False,"(17, 15)",green,0
295,62,False,False,False,False,"(1, 7)",green,0
296,93,True,True,False,False,"(17, 12)",green,1
297,43,False,False,False,False,"(17, 12)",green,0
298,104,False,False,False,False,"(9, 21)",green,0
299,418,False,False,False,False,"(9, 21)",green,0
300,147,False,False,False,False,"(13, 17)",green,0
301,197,False,False,False,False,"(17, 21)",green,0
